File name,Mean concentration ≥2 µm (cm^-3),Std dev in ≥2 µm bins (cm^-3),"Total concentration (all bins, cm^-3)"
0.pickle,0.031821545762711866,0.0031497525559977,84.09884956271188
1.pickle,2.89359236440678,0.08704041584682225,86.99346695084745
2.pickle,1.5154754389830507,0.04594505832306987,85.57754442203391
3.pickle,0.44260704576271176,0.014362820576185011,84.48857027288136
4.pickle,0.3009628813559323,0.010064668765339293,84.38564464915254
5.pickle,0.5547485305084745,0.017276917169504358,84.61377390338984
6.pickle,7.387501147457627,0.22173635099740657,91.45283161016948
7.pickle,0.12650673389830489,0.0058566842205822365,84.19567895762711
8.pickle,0.7134778288135591,0.021760404315513585,84.79248484406781
9.pickle,0.31498869152542375,0.010558236323490133,84.4251336101695
10.pickle,0.34941092372881355,0.011204890360256306,84.44822425084746
11.pickle,0.29894642033898283,0.009977753103039682,84.37545836271187
12.pickle,0.12721813389830483,0.005889642547932872,84.23543880169491
13.pickle,0.07843450169491525,0.004754203612261667,84.14469143559322
14.pickle,0.07906364915254249,0.004792444484404592,84.1286437
15.pickle,0.07877291355932205,0.004774679117407365,84.17862631016949
16.pickle,0.09457527118644087,0.005174918420798947,84.15647132881355
17.pickle,0.06313560169491518,0.0043256443317729945,84.13749075593222
18.pickle,0.25252371525423734,0.008704270291546216,84.3392288016949
19.pickle,1.179215952542373,0.03574524139671974,85.25726379322033
20.pickle,0.0939765169491526,0.00514177873289322,84.1484815237288
21.pickle,0.12630252203389822,0.00584692555915397,84.19901190847457
22.pickle,0.07826024406779666,0.004743450611988995,84.16320181016948
23.pickle,0.06317376101694908,0.0043283485605700445,84.12126529830508
24.pickle,0.29954272881355914,0.0100368120116839,84.36658269322034
25.pickle,0.20538005593220351,0.007684345064763088,84.26406858644066
26.pickle,1.0945730152542374,0.032998845856738145,85.18533108305085
27.pickle,0.8246342237288137,0.024989642880560804,84.91730732542374
28.pickle,0.8243506152542373,0.025440452054904115,84.8877078542373
29.pickle,0.7470726220338983,0.02303294447624739,84.83197762033899
30.pickle,0.5368352728813559,0.016973794021591146,84.59530663898303
31.pickle,0.8593491322033899,0.026465124960492154,84.90262786101695
32.pickle,1.161058333898305,0.035228288494407956,85.26133769830508
33.pickle,0.6970845711864406,0.021867186493145823,84.77467104915254
34.pickle,1.0495209016949154,0.03201194446893074,85.10324104237289
35.pickle,0.7290990983050848,0.022351986820946204,84.82257549830508
36.pickle,0.7446261898305084,0.02294162639892218,84.81830014067796
37.pickle,0.03170386949152547,0.003138030387081257,84.103797720339
38.pickle,0.4917064271186442,0.015301631577883654,84.56097975932204
39.pickle,0.7770275813559322,0.023919329671666538,84.82947632881357
40.pickle,0.6841280559322034,0.02135133810994687,84.75337804576272
41.pickle,0.648940545762712,0.019862168208603186,84.71781912711864
42.pickle,0.5694076813559321,0.017781638599609222,84.64465368644068
43.pickle,0.2521396881355933,0.00869062420289686,84.3255973898305
44.pickle,0.42891111864406795,0.013720374306700525,84.4934990338983
45.pickle,0.4277982084745764,0.013649323141528714,84.4935863355932
46.pickle,0.4285793355932205,0.013695191454540708,84.47952081694916
47.pickle,0.6032767440677966,0.018593034230915986,84.66352342881356
48.pickle,0.4569051966101695,0.014641066339165865,84.52490067288136
49.pickle,0.8263669745762713,0.02505240649981404,84.88285181864407
50.pickle,0.5068617559322033,0.016249794843205892,84.57815901355931
51.pickle,0.4731294406779662,0.015310754134853152,84.52475068983051
52.pickle,0.09395332203389849,0.005140464944093397,84.1525258559322
53.pickle,0.27062581355932197,0.009445024182752863,84.3336524322034
54.pickle,0.14180063898305084,0.00611505333915336,84.20348883559323
55.pickle,0.19004471016949154,0.006833246638385888,84.28210418305085
56.pickle,0.5374696372881355,0.017027184196116277,84.61548753728813
57.pickle,0.1736630627118645,0.006607041494124128,84.23685604915255
58.pickle,0.032000262711864305,0.003167291331360114,84.08278197288135
59.pickle,0.1271498898305084,0.005886161900789434,84.17501322033897
60.pickle,0.33249644745762696,0.010632560265181746,84.39153561525424
61.pickle,0.1426373186440678,0.006151419914550909,84.1938412338983
62.pickle,0.14166386949152543,0.00610915080237645,84.21735918305085
63.pickle,0.22171319152542376,0.007857895913421483,84.28307014576271
64.pickle,0.17370935423728812,0.006608996877180312,84.23511082542373
65.pickle,0.2531960101694915,0.008702951455639405,84.31401153559322
66.pickle,0.3963312728813559,0.012470310416849177,84.46859402372883
67.pickle,0.44432580169491526,0.014388237469242714,84.50787265254237
68.pickle,0.3169039271186439,0.010631618881683059,84.38697977457628
69.pickle,0.17360781864406782,0.006604905999990454,84.26087598305085
70.pickle,0.12679687966101688,0.005869957651440768,84.1825094220339
71.pickle,0.06274693389830502,0.004299135346672398,84.12447110508474
72.pickle,0.12576350508474568,0.00582219713035455,84.19612205254236
73.pickle,0.23765209152542377,0.008611949259016654,84.34041400169491
74.pickle,0.5388709610169491,0.017088134310137698,84.64167049830507
75.pickle,0.4430648118644068,0.013964669453194377,84.50608885932203
76.pickle,0.34870425932203386,0.011162366670680973,84.407853
77.pickle,0.17471970847457627,0.006647101022317365,84.23112456271186
78.pickle,0.23762898474576272,0.008599314719246158,84.2982342338983
79.pickle,0.7648454322033897,0.023406207171765257,84.85240869661015
80.pickle,0.8563276406779662,0.026402238059203387,84.94258407627117
81.pickle,0.587992813559322,0.018129707044482597,84.65667064067796
82.pickle,0.9360804745762711,0.028674426363596222,84.97390024915254
83.pickle,0.7608576338983051,0.023574758339052013,84.82138827457628
84.pickle,0.7469537474576271,0.02282836403040076,84.82080959661016
85.pickle,0.8556869000000001,0.026002264737622006,84.89857466949152
86.pickle,0.6340445406779662,0.019733122390329157,84.72392826949152
87.pickle,1.0669512406779662,0.03276855228264225,85.13157648474576
88.pickle,1.112156840677966,0.03366764056171174,85.19705485932204
89.pickle,1.485482979661017,0.044534727959269875,85.56887346101695
90.pickle,0.9394322237288135,0.028729214090023568,84.98948547966103
91.pickle,2.4439860830508473,0.0734218023015217,86.52960751186441
92.pickle,6.059609483050847,0.18192284320546767,90.11374939661016
93.pickle,0.20531393050847468,0.007709864045466587,84.2690718779661
94.pickle,0.25222743220338983,0.008690479232635417,84.32811720508474
95.pickle,0.2043720101694915,0.0076670281937592025,84.27642150338983
96.pickle,0.1723556627118645,0.007269006199483787,84.25468563728813
97.pickle,0.14288413728813534,0.006161838691383855,84.22952779322034
98.pickle,0.22114096440677966,0.007838451610980358,84.28978547796609
99.pickle,1.6611208864406781,0.04996407013667804,85.75376504067796
100.pickle,1.5186890881355932,0.04558295346369271,85.59792850508475
101.pickle,1.3554672677966102,0.04102462232186682,85.45058221355933
102.pickle,2.656565716949153,0.08008695643785443,86.73405103220338
103.pickle,0.22144275932203392,0.007845419036445637,84.29534224067798
104.pickle,0.15694477966101694,0.006342007791169028,84.22606977966103
105.pickle,0.23691986949152544,0.008608031265248865,84.2982504864407
106.pickle,0.22081270677966106,0.00783485493766637,84.29257712881356
107.pickle,1.4524599864406782,0.04387913129175599,85.51020197288136
108.pickle,0.45724888305084754,0.014654120323570415,84.51321717966101
109.pickle,0.8572082169491527,0.02619089467046298,84.94969870169493
110.pickle,0.5555438627118643,0.017337069573766132,84.62944073898305
111.pickle,1.9863303813559325,0.05989292119548838,86.0748414559322
112.pickle,1.550723261016949,0.047108274583514555,85.61033971525424
113.pickle,0.9548000033898306,0.02891718673621337,85.02944559491525
114.pickle,0.985590345762712,0.03004154894792958,85.05339841694916
115.pickle,0.9401666271186442,0.028818808018925467,84.97993884406779
116.pickle,0.840272245762712,0.025493652466716653,84.93316232881357
117.pickle,0.45677335254237295,0.014632643871727387,84.5487051983051
118.pickle,0.5067431677966102,0.015867752206784772,84.6159501864407
119.pickle,0.7599799288135591,0.023275055822759197,84.82736139152541
120.pickle,0.9049885372881357,0.02720437314989928,84.9716634322034
121.pickle,0.6001257033898305,0.01852027421077871,84.6767173322034
122.pickle,0.459339372881356,0.014710990036290412,84.51214389830508
123.pickle,0.015442696610169544,0.0021839270985714795,84.0902356
124.pickle,0.4274354983050849,0.01365672054328761,84.50108410847457
125.pickle,0.18973686610169493,0.006821875338062281,84.27630026440679
126.pickle,0.3798334118644069,0.01247946528019052,84.44661429661018
127.pickle,0.3483484542372881,0.01161169750080625,84.39992484406781
128.pickle,0.2701960813559322,0.009416492172974654,84.34433635423729
129.pickle,0.3487852542372881,0.011656870637824012,84.38096734067798
130.pickle,0.6475293491525425,0.019869345882719266,84.71779258813561
131.pickle,0.7773037864406779,0.023644921315470833,84.89626661355932
132.pickle,0.5383664932203389,0.016797790738952562,84.5894588220339
133.pickle,0.7460367644067796,0.022963480089316726,84.83046894067797
134.pickle,0.4602282152542373,0.014700727099430452,84.55705588983051
135.pickle,1.5623670644067795,0.04715672564607533,85.61426570508473
136.pickle,0.6670699525423729,0.020630326400837822,84.72375210508474
137.pickle,0.01564374576271181,0.0022123597423943683,84.09557343728812
138.pickle,0.04724088983050849,0.003777774284838919,84.10072104915254
139.pickle,0.6647802610169493,0.020574990361723798,84.73925450677967
140.pickle,0.9537978101694917,0.02910697966758641,85.02531750677966
141.pickle,0.3790591152542375,0.012465294288626187,84.46417821864407
142.pickle,1.2757141220338983,0.038563663683301476,85.36922616440677
143.pickle,0.9395867152542372,0.028560483785813023,85.03298153728814
144.pickle,0.3633320525423728,0.011614845424916654,84.45619083898305
145.pickle,0.30038659322033884,0.010050218781167249,84.37313587288136
146.pickle,0.1421353322033898,0.006129839666756028,84.21207568135594
147.pickle,0.1405143508474575,0.006059458217469366,84.21992809830509
148.pickle,0.17423465254237286,0.00662924337942742,84.21131953559322
149.pickle,0.26861836949152557,0.009382191175185151,84.34464718305085
150.pickle,0.26964387966101705,0.009391309108940968,84.35194142711865
151.pickle,0.31546185932203374,0.010534888644190242,84.35883992711865
152.pickle,0.17391495084745762,0.006616648711437353,84.23058014067796
153.pickle,0.06339854745762717,0.004344127842405163,84.15550502881356
154.pickle,0.2539519881355932,0.008738961113127608,84.33127444067796
155.pickle,0.5068234796610169,0.01596640589358628,84.57084491864407
156.pickle,0.4278326288135595,0.013658711267172458,84.48384757796609
157.pickle,0.4409660118644067,0.014268872904860222,84.49676828305084
158.pickle,0.11044361694915225,0.0055310137298418575,84.19671440169492
159.pickle,0.11012194237288128,0.005514461959733614,84.16262022711864
160.pickle,0.2204492694915255,0.007823533290732668,84.29027258305085
161.pickle,0.25169695762711863,0.008685002711444319,84.32371551864406
162.pickle,0.9090313322033898,0.02733150388739195,84.97214254915255
163.pickle,0.9510867474576272,0.02918955067539609,85.03479875084744
164.pickle,0.39574739491525424,0.012485246080501318,84.49848239491526
165.pickle,0.3010692491525425,0.010096878121128416,84.35307678644068
166.pickle,0.3635585186440677,0.012074005213776341,84.38549027457627
167.pickle,0.17307133898305097,0.006584508758610238,84.27350898983053
168.pickle,0.17389603050847469,0.006615913935758237,84.21810252881355
169.pickle,0.07941858305084745,0.004813785222661441,84.15920045762712
170.pickle,0.20494391694915268,0.007676550574358507,84.28161342372881
171.pickle,0.9186183254237289,0.027934425155908497,84.97855112711865
172.pickle,0.3316274423728813,0.01109618637117123,84.40105319322035
173.pickle,1.3725758372881358,0.041641953042816426,85.41512646779663
174.pickle,0.33150360677966084,0.010608634543432421,84.40177353389831
175.pickle,0.8571471711864408,0.026378848253137348,84.92549705423728
176.pickle,1.1779736779661019,0.03555985285203922,85.23384325593219
177.pickle,0.04705206101694917,0.0037629979282326636,84.11518694237287
178.pickle,0.9713882355932204,0.02939713844270926,85.04127381525424
179.pickle,0.6648862915254239,0.02057442733244058,84.74810651016948
180.pickle,2.2615581050847453,0.06808786633963855,86.35211054745764
181.pickle,0.251867433898305,0.008657271806852081,84.33778661525423
182.pickle,0.33216572372881337,0.011116126634666249,84.39776797288135
183.pickle,0.6510537016949154,0.0199893016491806,84.71652308135593
184.pickle,0.23787827796610161,0.008632840393432761,84.31668406440679
185.pickle,0.7149528033898304,0.021814378540620866,84.80772831694915
186.pickle,0.7131779559322033,0.021829175223995582,84.8207530677966
187.pickle,1.453107905084746,0.043972073890103734,85.5196227661017
188.pickle,1.3229752711864406,0.040048971161149416,85.42623865084745
189.pickle,0.6499887779661018,0.019930159730182608,84.72174363728813
190.pickle,0.6319801677966101,0.019645853870032273,84.69110631016949
191.pickle,0.6012074118644067,0.018565765702213785,84.6928186338983
192.pickle,0.9848796644067798,0.030035941298771397,85.0329725
193.pickle,0.6492099627118646,0.019885346312965062,84.72372896440677
194.pickle,0.6499430779661018,0.020443019838785968,84.77779392542374
195.pickle,0.9219529847457628,0.02805889022539958,84.99415254915255
196.pickle,0.6973218084745763,0.021612111039988446,84.7691115101695
197.pickle,0.9852827288135594,0.03019095387218939,85.0604773440678
198.pickle,0.0,0.0,84.05425195762713
199.pickle,0.6652705288135594,0.020551938681656935,84.72976606440679
200.pickle,0.8081725694915255,0.024847389229627852,84.88710440677966
201.pickle,0.5676925677966103,0.017785824210216645,84.65956243050847
202.pickle,0.5865475966101695,0.018322980039029678,84.67057308305084
203.pickle,0.23647441525423718,0.008583857473362735,84.28225680508473
204.pickle,1.1321850338983053,0.03407991806848476,85.21214488474575
205.pickle,3.1248961016949153,0.0940599556612131,87.19909454237288
206.pickle,0.03139266101694917,0.0031073671424555398,84.11369438474577
207.pickle,0.4259694745762713,0.013588631472139562,84.49973336779661
208.pickle,0.29969466779661,0.010011641168163473,84.39090145254237
209.pickle,0.4757771033898307,0.015724184717891762,84.52329815423728
210.pickle,0.5227767915254237,0.016182834723573115,84.60897457288135
211.pickle,0.5869154305084745,0.01840184761067588,84.66769350338981
212.pickle,0.6971685372881355,0.021888252530226138,84.77910186271187
213.pickle,0.15731534067796604,0.006357002811462239,84.22747833728815
214.pickle,0.6495936,0.01992298522007322,84.7276080237288
215.pickle,0.6983003050847457,0.021864891042138526,84.76422310338984
216.pickle,2.1197675237288136,0.06371216075057315,86.22835703559323
217.pickle,1.9389117694915254,0.05841501882618395,86.00407064745762
218.pickle,3.5681532067796615,0.10701870241278909,87.62788529322034
219.pickle,5.068341749152543,0.15220714997071288,89.14985220508476
220.pickle,3.02706002881356,0.09068963939041914,87.09694023050847
221.pickle,1.901091693220339,0.057175828467328285,85.95405995762714
222.pickle,1.9573497440677965,0.05909562127136416,86.01734209322034
223.pickle,1.3923034237288134,0.04210685012771526,85.4699252542373
224.pickle,0.922727479661017,0.02802672249589103,84.99023054915256
225.pickle,0.4911137237288137,0.015308851990785332,84.54354001355932
